variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
icc_log_level_2,0.8689420540082912,0.867995793036491,0.028599520222722098,0.024262495947182484,0.8147562871889339,0.9366627444830387,1.0001939536597602,3396.3474996591553,4195.491455956242,X202.0144_2.732465,343233,1
icc_log_level_3,0.07987283974138183,0.026275636497692635,0.13800123502395295,0.03610901244125291,6.697433921689719e-5,0.5249074880506455,0.9999604192896069,2185.766063981645,3968.8076347338456,X202.0144_2.732465,343233,1
icc_log_minus_centre_nominator,0.7890692142669093,0.8278948576968996,0.12052856446996052,0.04783919891442735,0.4059113809779432,0.886370485673976,0.9999556870412114,2792.804392364998,3971.9751858545073,X202.0144_2.732465,343233,1
icc_log_minus_centre,0.8574929172976214,0.8590999939609002,0.022693876551469202,0.022232424625412472,0.8081809772550265,0.8966639103369628,1.000322752611235,4186.6905808639885,8841.146367805344,X202.0144_2.732465,343233,1
wi_sd_log,0.15664003325,0.156137,0.009586885292967964,0.009566476499999999,0.13943397500000002,0.17681642499999997,1.0002055888067178,9480.97539334993,12265.905986642745,X202.0144_2.732465,343233,1
bw_sd_log_level_2,0.38667260415,0.3858435,0.025009128964610727,0.02492769510000001,0.340262975,0.4380668749999999,1.000351850788672,3983.369603905502,8394.35076573729,X202.0144_2.732465,343233,1
bw_sd_log_level_3,0.1048181094635335,0.0682268,0.1349680425275792,0.0633040548,0.00336732025,0.4397021249999993,1.0000154518632927,2190.703153523107,3952.3374086953872,X202.0144_2.732465,343233,1
icc_log_level_2,0.9104074442736386,0.910289072134735,0.018320560120260416,0.016020402031588474,0.8749634683169366,0.9490862962177435,1.000138413847742,2748.850748303682,4281.079885148761,X429.3722_8.839862,170428,1
icc_log_level_3,0.05535251971948609,0.012796870774419808,0.11708096643152284,0.018059784601770035,2.194230811360443e-5,0.440190759284862,0.9999699154580602,2161.920970755876,4080.283723293845,X429.3722_8.839862,170428,1
icc_log_minus_centre_nominator,0.8550549245541526,0.8884180522375004,0.10723694777997138,0.03011064715249097,0.5063045344437657,0.9262005855915092,1.000040307867061,2460.0116203055363,4051.425905304926,X429.3722_8.839862,170428,1
icc_log_minus_centre,0.9051074993098532,0.9062343336254901,0.01550534030579705,0.0149884192861417,0.8713695552243287,0.9321875648341885,1.0001132117179972,3010.481030915043,6915.1506870101,X429.3722_8.839862,170428,1
wi_sd_log,0.089349582085,0.08910805,0.005456335139121778,0.005365603530000008,0.07940692749999999,0.10089837499999997,1.0003144438650955,7731.1202991330965,11282.711580007992,X429.3722_8.839862,170428,1
bw_sd_log_level_2,0.27779444945,0.2768925,0.017658121999807132,0.017265618300000004,0.24565692499999997,0.31514922500000003,0.9999521997993113,2493.897518763209,4846.374959708217,X429.3722_8.839862,170428,1
bw_sd_log_level_3,0.0558196166579329,0.0332336,0.08365719286686715,0.033022172190000004,0.001356757,0.258671025,0.9999694666252646,2161.3580656354507,3964.119306204646,X429.3722_8.839862,170428,1
icc_log_level_2,0.5959112738025868,0.5841329742045819,0.09611265036169848,0.07746005448093377,0.43939548634765513,0.8499057813854362,0.9999843172870809,4356.054183987205,5786.9294185186145,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_level_3,0.13271922085976967,0.06584114917507723,0.17227662279801237,0.07930605286807413,4.884205218301822e-4,0.6744211847075416,0.9999512200374329,3367.6179714500286,5067.634238993285,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_minus_centre_nominator,0.4631920529428172,0.48195034918366775,0.10805130479046815,0.08756703790116409,0.16600297387818524,0.6179111294473834,1.0000000797720092,4413.744333572956,5944.370592110423,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_minus_centre,0.533715424834647,0.5376271948524669,0.06181984317072247,0.06075031179854683,0.40408535128553186,0.6454555623475967,1.000169797575367,4972.283057928215,9312.918516262473,X350.2224_7.2305984,26754,0.9966442953020134
wi_sd_log,0.3754406813,0.3740065,0.023031627729479386,0.022492524600000025,0.33415465,0.424238075,1.000025695289334,7480.500199413454,11734.958487141073,X350.2224_7.2305984,26754,0.9966442953020134
bw_sd_log_level_2,0.40296142925,0.402571,0.03688423241551244,0.03631332180000002,0.3324453,0.47684302499999986,1.0000365204631694,6031.869036496408,10247.472110535611,X350.2224_7.2305984,26754,0.9966442953020134
bw_sd_log_level_3,0.205054901135075,0.1460595,0.21789830311070202,0.11113621490999999,0.012500567500000002,0.7866241999999996,0.9999523917673858,3371.919298055797,5206.521596633825,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_level_2,0.5356602202434132,0.5314181244225238,0.09267028562500793,0.08162078721869229,0.3667560459353003,0.7441296690593957,1.0002494514899676,4438.813567818111,5428.7027280341335,X230.076_1.3965313,10318,0.6946308724832215
icc_log_level_3,0.07019762163889791,0.022397643858977818,0.1236652408249342,0.03086016481260048,3.7707569775263175e-5,0.4612517761809253,1.0002263855355318,3794.3008463746555,5022.5305733337,X230.076_1.3965313,10318,0.6946308724832215
icc_log_minus_centre_nominator,0.46546259860451533,0.4760031510989774,0.09372396331957197,0.08545250708285497,0.24393164503924797,0.6194245623597673,1.0005423656760803,3811.598276032035,5505.037674198035,X230.076_1.3965313,10318,0.6946308724832215
icc_log_minus_centre,0.5004278550819187,0.503798348233228,0.07428145216017813,0.07419240809354712,0.3447634932388024,0.6353107996088766,1.0000474793530727,4539.636412311279,7976.83998893399,X230.076_1.3965313,10318,0.6946308724832215
