variable,mean,median,sd,mad,2.5%,97.5%,rhat,ess_bulk,ess_tail,compound,lod,perc_present
icc_log_level_2,0.8690617970929433,0.8678547306141025,0.02905466712173003,0.02504674874609522,0.815433182282074,0.9364308772000939,1.0000281047608215,3170.3828825495707,4273.038258733066,X202.0144_2.732465,343233,1
icc_log_level_3,0.08481216082578777,0.029049139819523766,0.14199987185786797,0.03988207449174615,6.680353401052271e-5,0.5508164086042848,1.0001567271970488,1986.5716209224704,4086.552604810629,X202.0144_2.732465,343233,1
icc_log_minus_centre_nominator,0.7842496362671556,0.8254119679607026,0.12401659342733078,0.050490355820633465,0.38387192890443816,0.8862445180099499,1.0001327200758365,2292.2388531351285,4168.022506927754,X202.0144_2.732465,343233,1
icc_log_minus_centre,0.8568063442949887,0.8585173827252919,0.02307108247434287,0.022372995561007043,0.8065406631976323,0.8967447592736949,0.9999657691595292,3519.8244331169335,6979.731905981126,X202.0144_2.732465,343233,1
wi_sd_log,0.15692395715,0.156448,0.0096674945039867035,0.009583526399999995,0.13949872500000002,0.177239125,1.0000458120076319,7527.253289639166,11450.43159601688,X202.0144_2.732465,343233,1
bw_sd_log_level_2,0.3863427218,0.3850095,0.025193645344137698,0.024800932799999988,0.34051,0.4391545499999999,1.0000629632277644,3347.713886320587,6624.025882735997,X202.0144_2.732465,343233,1
bw_sd_log_level_3,0.10969727184083,0.0720553,0.14196962046245237,0.06666073533,0.00331076,0.45966922499999957,1.0001594131176368,1999.0961083273785,4141.942262820031,X202.0144_2.732465,343233,1
icc_log_level_2,0.9070427131194458,0.9069867937519758,0.018937812215922768,0.016761361240256005,0.8706074148085959,0.9464499419053329,1.000231757355165,3235.740828578598,5319.0913032923745,X429.3722_8.839862,170428,1
icc_log_level_3,0.05558599451550023,0.01374135273391109,0.11445751283301797,0.019117252936837872,2.810135949507089e-5,0.4288250311930748,1.0002345442439629,2410.9513977488527,5553.073002315689,X429.3722_8.839862,170428,1
icc_log_minus_centre_nominator,0.8514567186039457,0.8837007358850375,0.10444043688700283,0.031037425820179845,0.5133848835212137,0.9230450441554477,1.0003004516179377,2873.0388517830233,5567.837482734726,X429.3722_8.839862,170428,1
icc_log_minus_centre,0.9015513762399379,0.9026104317696624,0.016115818464278533,0.015772824014786687,0.8667096942026404,0.9299568967207529,0.9999993331104969,3173.319457418701,5791.472534639523,X429.3722_8.839862,170428,1
wi_sd_log,0.08948201282,0.08920885,0.005523283047275114,0.005509934640000002,0.07942511249999999,0.10103219999999999,0.9999773197741079,7461.687805624985,12249.930834447829,X429.3722_8.839862,170428,1
bw_sd_log_level_2,0.27260512885,0.27153700000000003,0.017424690977349656,0.01686235109999997,0.24097085,0.31002092499999984,1.0005827035179202,2847.0310237913827,4373.899618247462,X429.3722_8.839862,170428,1
bw_sd_log_level_3,0.0553876254236875,0.033720150000000004,0.08114481877192961,0.03225811428,0.00148337175,0.24626392499999994,1.0003000550047392,2406.051832035167,5526.133535741493,X429.3722_8.839862,170428,1
icc_log_level_2,0.6024504859313506,0.5895750564358854,0.09836391840706497,0.08098082096411054,0.44349953854694474,0.8600035092541332,1.000037058662516,5162.038205898239,8115.080361694457,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_level_3,0.14912551052382633,0.07975814695636088,0.179272994262232,0.09428296719501655,6.638314938498287e-4,0.6933684413303373,1.0002154119590865,3906.3492750610553,5097.37021728598,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_minus_centre_nominator,0.45332497540752437,0.47251640754852287,0.11107790735124214,0.09434961311795495,0.15854257046017775,0.6150210935928214,1.0000531853665051,5198.075479821655,8321.641736370637,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_minus_centre,0.5323305020849949,0.535558218880445,0.06210180058069585,0.06205655911260672,0.40198461196355895,0.6443136796888509,0.9999701197751909,5523.621806583935,9695.996117837123,X350.2224_7.2305984,26754,0.9966442953020134
wi_sd_log,0.3772240668,0.376247,0.023118505651787195,0.02270379510000001,0.334789625,0.4251262499999998,1.000015692247961,8348.23979189107,12664.470576367014,X350.2224_7.2305984,26754,0.9966442953020134
bw_sd_log_level_2,0.40378887395,0.403002,0.03747879758979869,0.036939720300000006,0.331736325,0.478473175,1.0001449755290335,6689.767613773774,10511.820765929384,X350.2224_7.2305984,26754,0.9966442953020134
bw_sd_log_level_3,0.22406792700988,0.16224349999999998,0.22753920501122488,0.11977917986999997,0.0144307025,0.8253073,1.0002076056205849,3907.495639830176,5208.409838865736,X350.2224_7.2305984,26754,0.9966442953020134
icc_log_level_2,0.5188317276765934,0.5149340584716209,0.09541731061511596,0.08266975450909377,0.34801097118573976,0.7359707769681706,1.0002856257820316,3368.625541242835,3637.253012718762,X230.076_1.3965313,10318,0.6946308724832215
icc_log_level_3,0.06529336778692692,0.019794178015426517,0.12270297343202463,0.027307188737566376,4.541315472818566e-5,0.4555958525169915,0.9999824980748604,3735.1820026204437,3581.5315345766417,X230.076_1.3965313,10318,0.6946308724832215
icc_log_minus_centre_nominator,0.45353835988966645,0.46269627755709203,0.09321656665260873,0.08348262730439264,0.23547111925237763,0.6082899859583892,1.0002575473914435,3932.0435353583002,4335.328145453654,X230.076_1.3965313,10318,0.6946308724832215
icc_log_minus_centre,0.48524859561744954,0.48909517707917194,0.07601829345216722,0.07555533476497422,0.32492576168049336,0.623485801249304,1.0001335318345266,4123.005716150834,7656.902307992744,X230.076_1.3965313,10318,0.6946308724832215
wi_sd_log,0.8471719898,0.8436345000000001,0.06328645429354017,0.0625990784999999,0.7336125499999999,0.9815368749999999,1.0001255735898946,7272.700506764977,12032.283732995202,X230.076_1.3965313,10318,0.6946308724832215
bw_sd_log_level_2,0.8251049463,0.8231435,0.09730392780424808,0.0964320105,0.639422625,1.0211932499999998,1.0001977201108758,5108.967338886505,8810.96092926394,X230.076_1.3965313,10318,0.6946308724832215
bw_sd_log_level_3,0.258923576303445,0.1685815,0.3401353067327773,0.15607485873,0.008036887250000001,1.0836647499999978,1.000001380524811,3724.368775408208,3575.4791541674317,X230.076_1.3965313,10318,0.6946308724832215
icc_log_level_2,0.6702130868745447,0.6659669601686582,0.07118799344575384,0.059775663155841575,0.5443968664564133,0.844633480700614,1.000431600149976,4399.985556105161,5478.580078969274,X230.0762_0.858709,10614,0.889261744966443
icc_log_level_3,0.09244628506294988,0.036735844875211573,0.14432605507698273,0.04831379540595786,1.3331942454188273e-4,0.5588076611261129,1.0001437356718366,3278.5900764007033,5182.201680590596,X230.0762_0.858709,10614,0.889261744966443
icc_log_minus_centre_nominator,0.5777668018115949,0.6000362062679369,0.10487160435491734,0.07442436611642719,0.27478784676138307,0.7128043576960743,1.00007703523656,4216.000247455836,5623.935677325002,X230.0762_0.858709,10614,0.889261744966443
icc_log_minus_centre,0.6364634277579081,0.6396991760797095,0.05340003816063873,0.05273339079173039,0.5223749466184243,0.7312931489859608,1.0005762198962413,4746.742092294538,8895.627175144351,X230.0762_0.858709,10614,0.889261744966443
wi_sd_log,0.56166684005,0.559704,0.036847668037884806,0.03600271710000002,0.49498665000000003,0.6399571249999999,1.0001134524130275,8117.039408781095,12187.916714203226,X230.0762_0.858709,10614,0.889261744966443
bw_sd_log_level_2,0.74690349625,0.744969,0.06323512516815111,0.062413753499999926,0.629819925,0.8772854749999999,1.000359737271261,5682.147564503779,9199.32433439336,X230.0762_0.858709,10614,0.889261744966443
bw_sd_log_level_3,0.26495389338004,0.18268,0.3282109543445141,0.15488640657,0.010778620000000001,1.04178,1.0001518828739289,3271.3121149493454,5368.734836145411,X230.0762_0.858709,10614,0.889261744966443
icc_log_level_2,0.6478444833717272,0.6264994544315189,0.12793723627934664,0.12207428627211818,0.4395702735163838,0.9343937836519709,1.0000818500194977,6003.391860076166,7749.347739992806,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_level_3,0.332361161712556,0.2705225649040499,0.22795114878233846,0.21022937788966925,0.04905567101259525,0.8771462649503546,1.0000488113482997,6416.301444654774,7843.906355248304,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_minus_centre_nominator,0.31548332165917126,0.32991740839365846,0.11995633625337644,0.12054404403334995,0.055352747685916276,0.51511609875874,0.9999953957693992,6199.329745707337,7861.595446664136,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_minus_centre,0.47122407553186,0.47429652271863126,0.06916904881078874,0.06838380701171107,0.32654875044333276,0.5991867328789227,1.0000244558321298,4275.779708828704,8374.209080049079,X263.1285_5.2630057,14272,0.9932885906040269
wi_sd_log,0.334547966,0.333342,0.02069390976106265,0.0201603948,0.297312975,0.37889502499999994,1.0000340848103477,6811.352109095331,11314.822456990745,X263.1285_5.2630057,14272,0.9932885906040269
bw_sd_log_level_2,0.3165527186,0.31608,0.033521571636594895,0.03333403709999994,0.25149645000000004,0.38290474999999996,1.000077975235737,5220.984180671048,10044.924215112913,X263.1285_5.2630057,14272,0.9932885906040269
bw_sd_log_level_3,0.372911886275,0.28046499999999996,0.3180292998277957,0.1537033659,0.10472887500000001,1.2189462499999995,1.0000460213931457,6435.769825508329,7922.3026355218835,X263.1285_5.2630057,14272,0.9932885906040269
icc_log_level_2,0.8037554974914993,0.8002995720321192,0.06282305517776457,0.06056575011483998,0.6851038278466067,0.9370230150546297,1.0001491268998286,5796.754635623791,9857.881184859925,X431.3_5.86525,10028,0.6140939597315436
icc_log_level_3,0.2774626264201506,0.22623211295807422,0.1932635292670829,0.17378646002463155,0.03775406209168052,0.7577309898091551,0.9999672321947248,5838.321923375692,9173.632640384314,X431.3_5.86525,10028,0.6140939597315436
icc_log_minus_centre_nominator,0.5262928710713488,0.5558574743235711,0.14694699040777634,0.13766494174040494,0.17437486647206052,0.7374371010291788,0.9999804299034765,5852.51053890562,9173.013185178726,X431.3_5.86525,10028,0.6140939597315436
icc_log_minus_centre,0.7277167696486522,0.7309958108775114,0.04922150049025139,0.048932611108170126,0.6236090243464566,0.8149833125893177,0.9999659639428454,4814.205525456629,9396.9186582269,X431.3_5.86525,10028,0.6140939597315436
wi_sd_log,0.67426355655,0.6715955,0.05320662938992804,0.052521846299999994,0.5783807750000001,0.786717825,0.999975121487932,8518.719841618658,13805.85441890779,X431.3_5.86525,10028,0.6140939597315436
bw_sd_log_level_2,1.1114901228,1.10623,0.10441294963553563,0.10279607100000004,0.9221759,1.3314124999999997,1.0002426698680074,6084.242159662749,11267.79998453269,X431.3_5.86525,10028,0.6140939597315436
bw_sd_log_level_3,0.84562434459,0.7050985000000001,0.5422466908981193,0.3644445777,0.25886615,2.265460249999999,0.9999828841254318,5897.970572070992,9151.502507824678,X431.3_5.86525,10028,0.6140939597315436
icc_log_level_2,0.712625019249144,0.6980536303825595,0.09906771303178288,0.09580954823044947,0.5464878855435296,0.9310011080950507,1.0001012389694026,5615.354345819597,7863.499033351481,X268.0809_1.638037,10038,0.9865771812080537
icc_log_level_3,0.3285714647226476,0.2733887023564135,0.2146310266037449,0.20470953824287566,0.05431183007929575,0.8364636769759777,1.0001927217746083,5713.037312397454,8698.522779617188,X268.0809_1.638037,10038,0.9865771812080537
